,text,class
286,"Very nice ambience and well behaved staff will make an enjoyable experience worth visiting. I wasn't particularly impressed with the food though. Among the dishes ordered, Murgh Potli kabab will certainly fill you up very quickly although the stuffed balls of goodies seemed bland to me. The gosht Chapli kabab however on the other end was a bit too loud. As per several food blogs I can say Chapli kababs are supposed to hit you taste buds with unapologetic pleothra of raw spices. But I was expecting better balance overall. We were so filled up after the starter course, that we went for simple butter naan and chicken butter masala. Both of those were amazing. I feel there is enough to explore and the place is definitely worth visiting a second time.",negative
10608,Good food ... With reasonable price .... It is situated our so called #officepara .. good for office lunch. Hospitality is quite good. Take away also provided,positive
5164,"Attended their special party here on the new year's eve.. the place is itself sooo beautifully decorated with a manageable dance floor.. coming the food, they had huge spread of buffet dinner !! Evrything was soo beyond expectations there! I loved all those deserts they had.. tried their macaroons, assorted berries.. so glad to try champagne for the first time there!! The dj played all sorts of english international tracks which managed to make us happy! I simply loved the party, but expected a lil bit of fire works..!",positive
8578,"as this outlet is very near to our home, I have tried few items here. liked thier rolls mainly kati kabab rolls. also tasted their chinese items but not upto the mark. pocket friendly and quick service.",negative
6216,"Had fried rice and chilli chicken. It was just about right.
The fried rice was well cooked and had right amount of veggies. No complaints.
Chilli Chicken was almost perfect.
Absolutely recommended.",positive
1032,"This used to be the go-to place for my office team. Be it their lunch buffet or their dinner spread, the entire package was good. Decent dance space. Loved the open area.",positive
2677,"One of the finest restaurants in five stars serving authentic bengali delicacies. There was a special thali festival going on during durga puja...
We ordered one amish thali (it was amazing)
Out of the al a carte menu we ordered-
-Rann Sonargaon
-Laccha Parantha
-Butter naan
- Mutton jafrani",positive
9395,"How could this go unrated when I'm a Goenkan ? Located just near to my college (Goenka College of Commerce and Business Administration)
It doesn't have any seating arrangement. Thus the customers have to sit on a space under the tree :P 
Food items are readily available and good. Staffs are okay. 
Fast food and pocket friendly - Perfect Combination. :)",negative
7448,I ordered their bacon omelette and pepperoni omelette. There was no pepperoni but just a single strip of bacon in my pepperoni omelette. The toasted bread was quite hard and difficult to chew. Disappointing.,negative
10151,"Tasty pizzas at a very cheap price. All their pizzas (4 slices) are between ₹120 and ₹130. They've introduced a half-half pizza, which has two toppings- one on each half of the pizza. It's innovative but didn't appeal to me much personally.
Amongst the normal pizzas, they recommend the chicken-tomato-onion-capsicum pizza and it's totally worth it.
Limited seating is available, although take away is a better option. The staff are well behaved and pleasant.
Overall this is a good option for tasty pizza well within budget.",positive
6069,"Ordered for Chicken Lollipop... Good in taste. Delivery on time though it was raining outside. Really appreciated, will be looking to order again!!",positive
8323,we tried two different dishes one was chicken and the other one paneer.  the chicken was soft and tender but the gravy could have been better. the paneer had a rubber like texture and tasted weird. ever the gravy was a bit sandy.,negative
11315,"I have visited so many restaurants across the city and abroad and till now, I found this restaurant to serve the worst food. The food is disgusting in terms of quality, quantity and taste. Only plus point- they don't serve stuffs which can make you fall ill. But still my advice, avoid this place.",negative
3246,"This is a restaurant from the house of Baraanda (Southern Avenue) situated near the patuli floating market and the patuli police station.. This unique place serves lip smacking Bengali fusion food though it is mainly a take-away and a delivery joint.. The place can accommodate no more than 12-13 people at most ! Even though they mainly focus on the delivery and take-away they did not fail to make the place look attractive both from the interior as well as the exterior..
Yes, the place is small but has the perfect ambience for a quiet dinner as well as a loud one.. That's the speciality of this place according to me..
The service is prompt and the staffs are very attentive and the chef has magic in his hands ! Coming to the dishes we ordered ;
• Cheesy fish finger ~ 125 /- (5/5)
• Mutton dukbunglow ~ 160 /- (4.5/5)
• Basanti pulao ~ 60 /- (4.5/5)",positive
354,"Nothing more to say about any Domino's pizza
As all of them have good ambience i am not a pizza fan but my friends are so we sometime hangout in Domino's we ordered a variety of pizza
As dominos a large variety of pizza's with variety of sizes as cost is high but it's worth it as it makes you tummy but if your budget is low and you are a pizza love you just blindly order pizza mania from menu it's taste is great and if you are dessert lover just go for choco lava",positive
11276,A very nice and pretty spacious place with an excellent view of the city....Has perfect sections made for couples or groups...Plays good music too....The food that were served was too classy with lots of garnish which probably is not apt for a bar which should be more of finger food style but all in all a pretty cool place to hang out or for a corporate party....,positive
10906,"Not value for money. Far better food is available( who want pocket friendly and ভাত - ডাল -  type food) in barrackpore then Amarjit, and they are also cheaper then Amarjit. Never try chicken, it's horrible. 
Some suggestion:
 1.Dada boudi hotel ( famous for biriani, but also  available rice-dal etc Bengali food).
2. Canteen at Barrackpore SDO office .",negative
9417,"This is a roadsides restaurant..Actually it's a roadsides dhaba..It is situated in Michael nagar..

I visited this place frequently..I tasted chicken tandoori,roti,butter chicken,chicken tadka,tea and all..

This is a good place with amazing pocket friendly budget..",negative
1605,"Loved visiting Trincas. The restaurant is clean. Staff is ambient. The live music is awesome ! They have a separate smoking room. The food was so good-- bharwan aloo, mixed grill, tangri kebab, drinks and the main course. Prices reasonable. Will revisit. 😊",positive
3281,Excellent delivery by zomato. Adil biryani rocks. Excellent taste. Value for money. One must try beef biryani of Adil. Taste great. Quality and quantity at its best.,positive
10753,"Good quality sweets.Variety.rasgolla,mishti dahi and sandesh kalakand are awesome.easy to locate.near Bazaar Kolkata.not at all pocket friendly.",negative
7695,Their food is normally nice but yesterday it was not up to the mark. I ordered pyaj patta dry and they served me potatoes dry. The thali even was not perfect yesterday. The pakori curry was too sour. Please don’t repeat such things.,negative
9727,"Illusion is basically a bar cum restaurant. It is in Metropolis mall, Hiland park. We went there for 99 offer (Happy hour from Sunday to Friday). And now I know why this place has a low rating on Zomato. It is justified. The place is too much overpriced. They charge 200rs + tax for a bottle of Breezer. Most of the drinks and starters cost above 99rs. 75% items from the menu cost (49+99 & 59+99) Is this really a 99 offer.
We ordered
✔️ Breezer ( Jamaican passion)
✔️ Beer ( Kingfisher)
✔️ Murgh tikka kebab(4 pcs for 160rs)
They served popcorn with the drinks which was not good in taste. They charged 538rs(including tax).
The ambience is not upto the mark. There is also a dance floor. Hookah is available there. Even the leather couches have so many tears. If you want to spend a good time then buy a bottle of drinks and order some snacks from outside but please don't come here. It will be complete wastage of your money.",negative
5942,third class,negative
8683,"Club kachori -- ordered online.
Size is small like a fuchka, taste was average. The alu Dom given with the kachori was tastier than the kachori.
Jalebi was good,not overly sweet.",negative
10537,"prawn momo is very bad in taste and also smell , cheers chicken momo Is ok ok",negative
8174,"I ordered several fried items since me and my parents are big fry lovers. Bijoli grills food corner didn't disappoint us at all. All of them were great.
In frame:
Fish roll-4.5/5 its good nd have a very unique taste
Fish fry- 5/5 loved it. Authentic bangali priyo fish fries
Chicken steam momo- 4/5 good but could have been better
Chiken cutlet- 4.5/5 loved the overall taste",positive
3129,"The Aglio Olio pizza, Gandhoraj Mojito, Mad about mushrooms, Smoked Cherry tomato sauce pasta..try these and the next thing you would realise is that you are too frequent there to maintain count! A must go🤘",positive
1297,"I visited this place very recently and they had a one plus one offer on the beer towers.
The offer is pretty great. Till 9PM you have 1+1 happy hours!
That was enough to get us going. However, the food wasn't that great.
We tried cheesy nachos and rosemary chicken. While the nachos we're basic nachos with salsa, the chicken was served with a gravy and mashed potatoes. However, the chicken was a bit undercooked and chewey.
Didn't like it.

It's a fun place to visit if your purpose is to drink and have a good time with your friends but I suggest you eat elsewhere.",positive
4014,"FUNITE located in sector 2 Salt lake area, it's Chef Debarya's first venture in India. They serve contemporary Asian cuisine. The best thing about this restaurant is the LIVE TeppanYaki counter, where the chef cook in front of you!
We tried TeppanYaki Bhetki wrapped in banana leaf and Jumbo Prawns with spinach and yellow curry, which were cooked in front us.

This place has a homely atmosphere, The hospitality and the food is too good.

We also tried Wasabi Prawns, Grilled Balinese prawns, Tried colour rice!
I must say all of the items were delicious, that I'm planning to visit this place soonest.

Invitation courtesy: FoodZpah.",positive
9849,"This place is famous for it's wrapes
We ordered the recommended momo wrap..it was good..but i would have loved it if it was non veg as i prefer non veg..But unfortunately this place do not serve non veg..

We ordered chocolate mini melts..it is something new..it more like ice cream

Food- 4/5
Service- 4.5/5
Ambience- 4/5",positive
11362,"Chicken is very good taste. Very good fragrance they use. I m very fond of their chicken fry. A cheap and best item and moreover its among very few restaurants who serve non veg in this area. Street Food at its best !!
                                                fascinatingfoodie.com",negative
11311,"Ordered from K2, Bhawanipur a few days ago.

Delivery time: around 40 minutes.

Food:  I ordered chicken biryani and chicken bharta. Biriyani was just okay, it was not something great. I didn't like their chicken bharta.

Average experience.",negative
8349,"If you’re bored of having the same Thin Crust Pizza, then you should surely try Konetto Pizza which serves Pizza in a Cone which was quite good, to my surprise. They also have good seating arrangements on the 1st Floor. The Service is prompt and the Staff behaves professionally! Recommended. :)",positive
7215,"Satisfied with the taste and price both. Never visited the outlet, ordered mostly through swiggy and quite satisfied with the taste. The price is also very decent in compare to all the so called best pizza outlets. Must try.",positive
6010,It's just situated opposite to my house... Special mention about dahi bada and onion dhosa... Thinking of trying pulao next time when I visit this place,positive
697,We stumbled upon this fancy looking restaurant in Park Street and loved it. Ambience is exactly like proper authentic Chinese restaurant. And about food! Every bite tempts you for more. They also serves nice variety of alcohol. Definitely value for money. If you are a Chinese cuisine lover than this place is for you. Highly recommended ❤️❤️❤️,positive
7920,Well wanted to have food from here for a long time and finally had a chance last week. Ordered mutton omlet for a takeaway. They made the omlet within time and as i requested the packaging was done extremely well. Now coming to the food part:_ quantity and quality wise felt a bit overpriced. Some potato wedges and small garlic bread were provided with the omlet. Ketchup was provided. The dish tasted nice though nothing extraordinary. Could have done with a bit more filling in the omlet. They would do better to improve their taste and quantity. The staffs were very friendly and helpful people too. Anyone can give it a shot for a quick snack. Cheers!,negative
10396,"Location : Cornfield Road.

A very cute , little place to hangout with friends.
They have probably 6tables. 
Went there today and I like that place actually.
We had Steamed Momo and one Mongolian chicken noodles.

The momo was soooo yummy and also the noodles was good.
Taste was awesome.

Recommended.
❤",positive
2613,The restaurant is located opposite Altair in Monotel hotel. We opted for buffet lunch. The food was very good. Service was good as well. Ambience is lovely.,positive
3938,"NBCC ghar ka khana is a place you can opt if you need pocket friendly food. Two huge size stuffed parathas with chutney fill you more than breakfast at Rs 55 only(no minimum order) . Although parathas were little thick and stuffing could have been more properly done, at this cost, the quality is justified. The chutney is very good and given in a small box which is reusable. Overall a good experience.",positive
8366,"If you are having a get-together and wondering what to order, think no more. Dipika'r Kitchen is serving mouth watering delicacies at very affordable rates. Their catering service is your one stop solution. All the food were absolutely light and non oily yet delicious.

✔️The comfort of homemade food
✔️Cost per head is as low as rs 150 depending on your order
✔️Hassle free service allover the city

🍽️Mutton keema pulao
🍽️Prawn fried rice
🍽️Chicken kosha
🍽️Kachori
🍽️Alur dom
🍽️Fish fry
🍽️Chicken pakoda
🍽️Gulab jamun
🍽️Sondesh
🍽️Paan",positive
7109,"Ambience filled with nostalgia, same old good TASTE and also good SERVICE ~~

Firstly, don't go by the name Restaurant , here you won't get the Restaurant type fine dining , this is basically quick bite place, remember they accept CASH only, but will give you proper PRINTED BILL.

Located in a old building opposite B. Dasgupta store near fariapukur. Inside, both AC & non- AC seating available. Décor will give you feel of heritage of the North Kolkata Cabins.

Unlike the most of the eateries here which lost its charm in present time , this one kept it's quality and Taste. They are also providing combo meals to cope with modern competition.

Staffs are well behaved. And also very quick service is provided by this place.

Not much expensive items will give stomach full food with very little pocket pinch.",positive
7087,"This is a very small chinese restaurant at Shyambazar area.. located near dreamland nursing home.. I have been there so many times.. nothing to say about the ambience and decor.. but the seating is comfortable and the service is also good.. mainly one boy serves food here and his behaviour is very friendly.. now coming to food.. I have tried many dishes from their menu.. and they never disappoints me.. their food is really tasty and the quality is also good.. I just love their Thai soup, Fried rice, Schezwan chicken, Hot garlic chicken, Mixed chowmien and Chinese chopsuey.. every dish is delicious and quantity is also good.. recommended.. 👍😊",positive
5353,"Good food
Ambience ok
Quick service
Menu pricing is a bit high
Product quality is really good
Will definitely recommend all
My first visit but it felt that I have visited many times
Only the price is drawback
Portion is also
Good .
Will visit again",positive
6912,"Have been here for lunch with Dipanjan Mondal during duga puja Nabami this year i.e. 18-oct-2018.

The interior - ambience was nice.
The hand dryer in the wash room was non-functional.

They were serving pujo special thali - there were two non veg thali options in the menu - rs. 629 & rs 829.
We asked for the thaki costing 629 & we were told that a thali is not available.
We had to go for the more expensive one.
Thwe ordered the non veg thali - but the dishes were not satisfactorily warm... The rice was cold.
When we asked for hot rice - they brought not so warm rice & as we said this is not hot enough - they said this is the most they could do.
Hence, we were not happy with this part of service!

The only parameter which made me give them 4 starts - is the taste of food & the variety of items in the thali.",positive
8236,"Located on in the basement of Spencer's, they serve really good Chinese food. The service is prompt and the taste is remarkable, however the presentation is not so good. We ordered

Chicken shawarma salad: The quantity served was huge and enough for two people. Amount of chicken was decent. Chicken pieces were soft and juicy. If I hadn't tried this salad, I would have never known vegetables could taste so good!!!!",negative
8693,The ambience of this place is good. It is cosy. But the food served here is not upto the mark. The food is too costly compared to the quantity they are giving. The quality and the taste of the food needs to be enhanced.,negative
4263,Lovely food at best price. Keep it up. I am very pleased with the service and the quality of food is very good. I recommend this place to all my friends.,positive
8261,Great food at this small joint. Its a must try and really pocket friendly. Hope they start online delivery soon. Must try the chicken lat-me kai. Mixed Hakka at 110 is a steal. Was really good with vegetables.,positive
5023,"One of the cheapest places around. Their fish fry was to die for. Good ambience. Not too loud music. Also, the free brownie upon posting a picture with the wings was so good.",positive
9229,"Ordered food from here for home delivery. Quality of food is below average. 
Management should do a taster panel and check. Should not spoil the brand.",negative
9020,Biryani is almost good. But the quality is not upto the mark.. But as price it is ok. I ordered Chicken Biryani which is good to taste but i think the quality and packaging should be more improved..,negative
2385,"This place is situated just behind the Carnival cinemas, Salt Lake. There are four different restaurants on four floors like Kipling's Klub, O Calcutta!, and two more are there. We got ourselves settled at O Calcutta! Since we visited the place early evening so it was not crowded at all. We ordered one wanton chicken soup, one white sauce keema spaghetti, and one mix mehfoon. Food was really good, both in quality and quantity. Overall it was a good experience!",negative
5422,Have been here twice though satisfied with their quality nd quantity of food they serve but highly disappointed with their service. We ordered starters nd had to wait for more than an hour to have it on our table while others who arrived later were already leaving. The order was to be confirmed more than 5times and still they got the wrong main course for us. Though their food quality is good at the rate they serve but their management is very poor nd highly disappointing. Its better to order online or get a take away.,negative
7879,"Good restaurant. Nice behaviour, nice quality of foods. Quantity is ample. Otherwise tasty foods. One of the oldest restaurants in Serampore.",positive
10300,"i visited here on my birthday.! ambience good,
and the food delicious.. trust me! finger licking taste.. we ordered tangri kabab,chili garlic chikcen, butter nan, lacccha paratha, special chicken biriyani and mutton kassa....although i love this place.. Pam",positive
9019,"It's added to my favourite list. Biryani is delicious, finger licking tasty and delivery was on time. It makes your stomach full in only Rs. 59.5 if you apply TASTY. Thank you haji as well as Zomato.",positive
11282,"Now this was a great choice , good food - great atmosphere - quality and quantity both satisfying.

We had Mixed Rice Noodles , Mixed Gravy Chowmein with Hot garlic chicken .

No complains.",positive
1479,"They’ve upped their taste game since the last time I ate from them. Saw an amazing offer and ordered Two Chicken Supreme’s and One garlic Breadsticks. The pizza base was soft and cheesy with the just right amount of cheese and amazingly delicious spicy chicken. There were four types of chicken, all so spicy and tasty. The garlic bread was also really soft and the spices had blended so well. Had amazing food from Pizza Hut after a really long time. It was worth the wait. So satisfied.",positive
9176,best quality indian food available at pocket friendly prices...my personal fav r the kababs n kulchas n also d mouthwatering veg jhaalfrezi..must try the veg kababs as they r the best i have had tasted in kolkata..,positive
6229,"One of the romantic pub in city, awesome place with awesome food, awesome ambiance and very good service team.

Thanks for serving me.

All the best for future.

Cheers !!",positive
4228,"We ordered Tamaki Sushi through Swiggy. Delivery was speedy. Packaging was good. But it didn't match all the items as shown in Swiggy's photo of the dish under Recommended Section.

As you can see from the photo, there was no hint of smoked Salmon. You can locate the carrot, cucumber, tofu and avocados, but no salmon. The description photo showed eight pieces from Tamaki Sushi roll and two other pieces. We only received the eight Sushi roll pieces with ample amount of soy sauce, wasabi and ginger.

Happy with the preparation, disappointed as it didn't match expectation.",negative
11071,"This is a terrible place..I visited this place with my friends..It's not so far from my house..

Hospitality-1/5
Foods-1/5
Price-2/5

Never want to go back to this place again..",negative
934,"Mitra cafe can be considered less of a cafe and more of a cabin. If you're a non veg lover and are near any outlet of this cafe, do not forget to hop in and enjoy the juicy fish fries. The fish butter fry literally melts in the mouth giving you a feeling of utter satisfaction. Fish kabiraji is definitely their speciality,but you can also try out other dishes on the menu. The place also makes sure that the cost of the dishes doesn't make a hole in the customer's pocket.",positive
5756,An old restaurant with no change over the years. The food is very average. Not much great. However the quantity is brilliant and justifies the price.,negative
2657,"Where to start and stop?! The service, food.. Insanely good! One bite and you can feel even the quality of oil used! Non greasy, easy on stomach food! Astounding part was serving kimchi with crispy fried babycorn. For main course we had pulao, kosha mangsho and kadai paneer and butter naan. Each of them spectacular!
The only drawback for the restaurant is it's location. Situated in a bit interior, far away from the crowds of Rajarhat roads. However, this acted as boon for us since this was the only restaurant where we secured a seat without hassle during durga puja.",positive
6679,"I have been visiting China Town with my family for over a decade now, or even more. Everything might change but the love for authentic Chinese food served here is constant. This is a family favourite. They have maintained quality and quantity over the years. Today we had Shanghai Veg Hakka noodles and paneer pakoda. 3 of us and we couldn't finish the massive bowl of noodles. The ambience is good and the service is prompt.",positive
2527,"Comparing Eden pavilion to other ITC pavilions and buffet lounges, the quality might not be as high compared to its other counterparts, however is still one of the better buffet options and the second best price value in my opinion in Kolkata. 

The best part about their spreads that I personally enjoy the most are the salads and appetizers section as over the last few visits, the main course however has been dissapointing a little with poor choices of curries and the simple lack of exotic dishes to accompany along with the biryani. Over time Eden pavilion I think needs to improve the choices for the main course which would really be a boost for them. 

Service and ambiance on the other hand has always been good and comfortable to dine alongside to and hopefully will be for the near future. Definitely recommend any first timers considering to visit. A bit heavy on the pockets though!",positive
1438,"A very warm & cozy cafe serves some awesome coffee and munching bits. Went on a peaceful evening and had a great time. Food was on point and so was the service. However this was my second visit..on my first visit I was surprised by a live stand up comedy show which was really entertaining!!

They also have a snug corner..which gives you to sit privately with your group of friends and enjoy your time.

Personal favourite- Broccoli soup & Nutella crepe",positive
1499,"This is my second time. I Am very happy with the ambiance and food. This is a great place to try russian, greek. Cofees. Mojitos, moktails are so good. Try the blini, porks and pastas too.",positive
6981,"We ordered roasted chilli pork, sweet and sour chicken and egg fried rice. Keeping about the price in mind, I must say that the food is tasty. It's very cheap and the food is good.
But I don't like the decor, I mean it's not even decorated a bit.",negative
2571,"I would say that it is the best restaurant for the South Indian fusion dishes. They have utpam burger , pizza dosa , pizza crackers ,pasta , pav bhaji dosa , chocolate dosa , jini dosa
The ""must try"" items are--
1)death by chocolate
2)pizza dosa
3)Peri Peri fries
4)pav bhaji dosa",positive
3020,"This place is located at central Road, jadavpur. At a walking distance from jadavpur university as well as from jadavpur station. It's a good and hygienic fast food centre. Cost of two people to fill there stomach will be max 200rs . They even have combo options which is enough for 2. It contains rice or noodle,fried momo, chilly chicken and special combo contains drumstick too . They have great roll options like ajagarh roll but there roll no. 1 is amazing as it has chicken as well as full boiled egg .It was really yummy. There fish kabiraji is also one of there signature dishes .",positive
8454,"This restaurant came to my notice out of nowhere...If u are going from narkel bagan side towards city centre 2 then after crossing westin hotel u need to take first left...This restaurant is basically a part of The palm studio hotel....I would have never noticed this place if I wouldn't have gone there in search of new apartment...food here is tasty I had aloo Gobi, bhendi Masala & tandoori roti....all the items were really tasty & staff are really helpful..when I enquired about rooftop restaurant (as the name suggests) they immediately got ready to show me the rooftop part but as I was running short of time I couldn't see...I would highly recommend this place if u r in an around eco park area & have ur own vehicle",positive
2093,"I had heard raving reviews about this place and was really excited to try it out. The entire setting of this place is so quirky that it will instantly lift up your spirits. The book shelves have an assortment of books which you can buy at a reduced price. The seating is quite comfortable and you have lots of games available. We ordered the cafe latte, vanilla cappuccino, regular cappuccino. They served the coffee with yummy cookies. The french fries were delicious with the right amount of salt, which was balanced by the honey mustard dip. The chicken pesto pasta was so creamy and melted in the mouth. We tried the Halloween special chicken paprika dish with herb rice. Out of all the dishes, this one disappointed. The staff was courteous and service was prompt. I must say, this place has impressed me.",positive
9642,It was Chhath and I had planned to try out the litti chokha here.The dish was presented well and the taste too was fine.ntng extraordinary.would definitely visit to try the other dishes. 175 for the one without ghee.and 200 for the one with ghee,negative
9711,"This is like an 2nd home to me.everyweek 2-3 times i get food from here , noodles are fantastic,ckn tandoori kababs are very good,the chana masala is the hot seller with the chicken rolls,rumali rotis and lacha paratha s.the ckn fried rice is fantastic and very cheap so is everything..",positive
9047,"Ordered food once from this place through zomato. We mainly tried their bengali dishes. We had mocha chingri, mutton kasha and Chingri preparation with coconut milk and poppy seed paste. The food was tasty but could have been better.",negative
11395,"A small eatery very close to my home. This food joint was much needed in our locality, as all other nearby restaurants serves worse food. They have been making pretty good kebabs and tandoor dishes and also biriyani. Most of the times, they have given me tasty food.",positive
10164,"This is a pool side restaurant in the hotel ""Stadel""...this place is bang opposite to AMRI hospital (Salt lake)...I feel this is one of the best poolside restaurant in Kolkata... in terms of ambiance & peaceful environment..this place looks perfect to spend quality time with ur loved ones.. however quality of food & service needs immediate attention..service is very slow, after placing your order, you have to follow up at least twice..I ordered tandoori prawns..which below average as prawns were half cooked, chicken tandoori was ok..nothing great, panner Tika was pathetic as you can smell all raw masalas...overall...I feel this place need to upgrade the quality of food they serve...",negative
26,"One of the best place to hang-out, with moderately priced Alcohol and sinful finger foods.
The view is breath taking. Ambience is one of a kind. If you are in group of 6-7 people you can their leg-soaked-in-warm-soapy-water seats! Weekend evenings are full musical performances! Stuffs are very courtious and helpful.
The place doesn't accept tips!",positive
3879,"Lovely place ..
Good food ...
Mocktails are good too ..
Good hookah which was recommend by Mr.Ali all thanks to him .
Will recommend this place for sure",positive
10480,"This food join is in area.
They have not much space
Its better to takeaway the food to home.
Their rolls are verryyy good, I love them.
Other food utems are average.",negative
4207,This is a hot new restaurant that has popped up in the neighbourhood of Bansdroni. Its a small and sweet set up and they have decorated the place nicely to create a cozy ambience. The food they serve are quiet delicious and the staff here is very courteous and friendly.,positive
4311,I have hardly been to this restaurant but has ordered from here several times as its very near to my workplace .food quality is good over here but nothing extra ordinary in terms of quality...ots not so expensive so u can give a try if ua looking for a budget free and casual dining,negative
4469,I ordered mutton biriyani. Order was delivered on time. The quantity was good. The biriyani was super oily. Mutton pieces were well cooked. They did serve a small portion of raita but there was no chef's special gravy as it said it would contain that.,negative
1299,We had went there out of no choice since everything around us was closed. Now when we went there we were made to sit in the restaurant area which was fine by us because we were just hungry and not interested to party . We ordered and the order came sooo late. I thought we were going to doze off. Meanwhile when we were waiting a couple came in and started fighting. The problem is crowd was extremely cheap and drunk. Had the worst experience ever . And the food was not good also. First and last visit.,negative
8280,"Ordered from Swiggy. The order was delivered on time and the dishes were neatly packed. Tried Veg Thukpa, Chicken Thukpa, Sweet & Sour Fish and fish in oyester sauce. Each and every dish is perfectly good. Sweet & sour fish has a flavorful sauce and tasted good but not too good. Fish in oyester sauce was juicy and succulent with an amazing sauce, one of the best I have ever had. This is a must try dish here. They also have a huge variety of good food. Overall, a great experience from Spicy treat. And will be definitely trying it's other menu as well.",positive
3121,Well the experience satisfactory I would say. The aftermath was not so welcoming. Meaning when we had the food it tasted good but after few hours all our family members suffered from acidity . I don't know what was in the food that caused this. The service and food is fantastic when we were in the restaurant but after some time things started to change. The total bill 1691 so you can imagine we had quite a lot . Attaching the bill in the photo section since taking pictures of so many things had not been possible. Some of the members of family said it was due to the excess oil that was in the mixed fried rice .we did not tell the restaurant at that point of time because all was super hungry at that point of time and you all know when you are hungry anything that is before you tastes heaven. Please improve the food quality from next time .,negative
38,Well had been to this place a while back to attend an event. Really loved the banquet space on offer. The open area is a real show stopper. The food is good here. The starters on offer are pretty innovative and tasty. Really enjoyed the mini pizzas and fried chicken ala Kiev though it wasn't really the dish. Simply fried chicken with a tangy dip anyhow does the trick. The Dal makhni tart was innovate. However the Dal makes the casings soft and kills the fun. Food is decent here. Liked the chicken mughlai dish on offer. Need to work on their fish dishes.they use basa which is a tastless fish basically. needs stronger flavours to tingle the palate.,negative
324,"The best place for cheapest and best drinks in Kolkata. During happy hours, the rates of drinks are very pocket friendly. The ambience is good but due to less space, this place is a bit crowdy.
Let's talk about the food now. The food was good, it tasted good. We order barbeque chicken. We specially went there for drinks. Had around 4-5 rounds of drinks. The first round was normal drinks, like Smirnoff, old monk, honey bee etc and the other round was for shots. Among the shots, Kamikaze stole the show. Had a nice experience here, hope to visit there soon, again.",positive
5336,"Ordered Veg chowmien from here. It was not up to the mark. Taste was bland, only black pepper was sprinkled and too less veggies. It seemed it was made very long back and warmed up and packed. Will not order again.

Edit 1: Visted the place with the friend for a quick catch up and ordered Veg schezwan noodles and white sauce pasta along with fresh lime soda and masala cold drink. Schezwan noodles were so spicy that I couldn't eat more than 3 spoons. Surprisingly pasta was really good and creamy. The drinks did not have apt amount of soda and felt more like a flavored water and sugar drink. So again, only recommend pasta, nothing else.",negative
8748,"Finally visited this place after passing it by several times and never having the time before.
Got a take out of Chicken fried - egg - cheese burger and a chicken wrap. Both were tasty, though the presentation could be improved.
Had to wait around 15+ min for the food. The service and behavior of the staff and the owner were polite.
The decor is quite cozy and beautiful. They have utilized the small space available quite well.

Ambiance & decor : 5/5
Food : 4/5
Service : 4/5
Value for money : 4/5",positive
4921,"It is located just beside PVR, Diamond Plaza.
The ambience is nice. They have a dance floor. They also have a bar section.
I along with my friends visited the place yesterday. They are still offering the Durga Puja Special Menu.
From which we have ordered fresh lime soda,murgh dhuandar, mixed hakka noodles, mixed fried rice & sliced lamb with cracked peppers.
The chicken was little hard. Otherwise the food tasted good. Quantity wise satisfactory.
Staffs were friendly and cordial.",positive
1611,One of the oldest restaurants located at park street which is known for its live music and food.This time we happenned to stumble upon Trincas during Durga puja. We ordered quite a few starters and some moctails to start the lunch. This place seemed a lil pricey when compared to the taste. The veg options were very limited.Taste of food has deteriorated over time. The USP of this place is the live music! They have some amazing line up of singers who manage to add on to the ambience and feel of the place.,negative
10915,Food is tasteless the worst food ever ordered by zomato,negative
7393,"Mags has always been one of the best place to hang out with friends in the Park Street Area. I wonder what took me so long to write a review. Can't recall how many times I have visited this place. I would recommend the continental dishes over here and not the Indian ones. However, the continental kitchen remains closed during Durga Puja time. The staff are pretty friendly. My personal favorite over here is the Baked Fish. I prefer the one without tomato. The turkey preparations during the Christmas season are also pretty good. The ground floor is for family. If you are with friends, you can opt for the first floor, however the first floor is a bit shabby and the ceiling is pretty low!!! However, this will always be one of my favorite places.",positive
3724,"This is my go to place for cheap booze and good food . Been here many times and never have I faced a hassle regarding anything . The USP of this place is it's cheap booze rates . The food is priced moderately but again the food is nothing extraordinary . Though you have to become a member first to get entry to this club.
You can also play snooker and carrom while sipping on your beer . Quite a nice chill place .",positive
1917,"Love this place, situated in Ganga. Ideal for couples for date with your loved one just to make your loved one special. Too romantic, though i went with my cousins 😂 boo boo😋, name of the dish is really innovative like Jalpari! We ordered too but it wasn't available to serve, we had one fish nd chicken starter sorry i completely forget the name, mixed friend rice, matar naan, chicken nd fish as main course. Sizzling brownie and a mousse in desert.
I have shared below the creativity done with water melon One more thing price is too expensive but do try once.",positive
3825,"I came to know about this place from the Zomato Gold membership list of restaurants. There is a 1+1 offer on food. The direction is just what given in the Zomato page. The decor is brilliant, the seats are very comfy and spacious. There is a huge tv set if people love to enjoy food and games together. The service guys were very polite and courteous.

Coming to the food. They will give a complimentary papad and chutney. We had galouti kebab and a chiken kebab for starters. The chicken one was brilliant and you can ask the service guys for the same. In main course we ordered hyderabadi biriyani and keema biriyani. Needless to say, they were 2 tasty. The standout though was chicken rara. Just go for it.

I will recommend this place to all and will surely visit again.",positive
2219,"Loved their huge beef burger. I've been craving for months, it's worth coming back for. It's a small steak joint with lots of varieties and delicious crunchy chicken wings. Also tried their stuffed potatoes.",positive
